describe,evaluate,introduce,movie_name,serial_number,star
希望让人自由。,1247503人评价,1994/美国/犯罪剧情,肖申克的救赎,1,9.6
风华绝代。,919449人评价,1993/中国大陆香港/剧情爱情同性,霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1146241人评价,1994/法国/剧情动作犯罪,这个杀手不太冷,3,9.4
一部美国近现代史。,982741人评价,1994/美国/剧情爱情,阿甘正传,4,9.4
最美的谎言。,574844人评价,1997/意大利/剧情喜剧爱情战争,美丽人生,5,9.5
失去的才是永恒的。 ,919247人评价,1997/美国/剧情爱情灾难,泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,912774人评价,2001/日本/剧情动画奇幻,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,516193人评价,1993/美国/剧情历史战争,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,998561人评价,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,9.3
小瓦力，大人生。,663250人评价,2008/美国/爱情科幻动画冒险,机器人总动员,10,9.3
永远都不能忘记你所爱的人。,649177人评价,2009/美国英国/剧情,忠犬八公的故事,11,9.3
英俊版憨豆，高情商版谢耳朵。,893415人评价,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,745001人评价,1998/意大利/剧情音乐,海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,615598人评价,2004/法国瑞士德国/剧情音乐,放牛班的春天,14,9.2
一生所爱。,683203人评价,1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之大圣娶亲,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,664521人评价,1998/美国/剧情科幻,楚门的世界,16,9.2
人人心中都有个龙猫，童年就永远不会消失。,597405人评价,1988/日本/动画奇幻冒险,龙猫,17,9.1
爱是一种力量，让我们超越时空感知它的存在。,677466人评价,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,18,9.2
千万不要记恨你的对手，这样会让你失去理智。,451661人评价,1972/美国/剧情犯罪,教父,19,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,387103人评价,2011/韩国/剧情,熔炉,20,9.3
香港电影史上永不过时的杰作。,561931人评价,2002/香港/剧情犯罪悬疑,无间道,21,9.1
平民励志片。 ,722618人评价,2006/美国/剧情传记家庭,当幸福来敲门,22,9.0
满满温情的高雅喜剧。,478546人评价,2011/法国/剧情喜剧,触不可及,23,9.2
真正的幸福是来自内心深处。,781091人评价,2010/美国/剧情喜剧爱情,怦然心动,24,9.0
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,747719人评价,2016/美国/喜剧动画冒险,疯狂动物城,25,9.2
Tomorrow is another day.,341503人评价,1939/美国/剧情历史爱情战争,乱世佳人,26,9.2
无尽的黑暗。,451839人评价,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,27,9.1
张艺谋最好的电影。,371386人评价,1994/中国大陆香港/剧情历史家庭,活着,28,9.2
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,373965人评价,1988/意大利法国/剧情爱情,天堂电影院,29,9.1
瑰丽壮观、无人能及的冒险之旅。,737279人评价,2012/美国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,30,9.0
1957年的理想主义。 ,219858人评价,1957/美国/剧情,十二怒汉,31,9.4
对敌人的仁慈，就是对自己残忍。,306200人评价,2000/中国大陆/剧情历史战争,鬼子来了,32,9.2
史诗的终章。,366665人评价,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,9.1
比利·怀德满分作品。,151378人评价,1957/美国/剧情犯罪悬疑,控方证人,34,9.6
对天空的追逐，永不停止。 ,428422人评价,1986/日本/动画奇幻冒险,天空之城,35,9.1
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,481674人评价,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,36,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,651534人评价,2009/美国/剧情喜剧动画冒险,飞屋环游记,37,8.9
旷古烁今。,550689人评价,1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之月光宝盒,38,8.9
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,670971人评价,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,39,9.1
爱情哪怕只有一天。,492583人评价,1953/美国/喜剧剧情爱情,罗马假日,40,9.0
别样人生。,292548人评价,2006/德国/剧情悬疑,窃听风暴,41,9.1
带着心爱的人在天空飞翔。,466938人评价,2004/日本/动画奇幻冒险,哈尔的移动城堡,42,8.9
史上最美的探戈。,418221人评价,1992/美国/剧情,闻香识女人,43,9.0
电影的现实意义大过电影本身。,289763人评价,2013/韩国/剧情,辩护人,44,9.2
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,330073人评价,1998/英国/剧情喜剧犯罪,两杆大烟枪,45,9.1
自由万岁。,333768人评价,1975/美国/剧情,飞越疯人院,46,9.0
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,358175人评价,1989/美国/剧情,死亡诗社,47,9.0
一张面具背后的理想与革命。,542632人评价,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,48,8.8
承前启后的史诗篇章。,344075人评价,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,49,9.0
优雅的孤独。,244467人评价,1974/美国/剧情犯罪,教父2,50,9.1
海豚的微笑，是世界上最高明的伪装。,219795人评价,2009/美国/纪录片,海豚湾,51,9.3
传说的开始。,385206人评价,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,52,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,264830人评价,1994/台湾美国/剧情家庭,饮食男女,53,9.1
爱是一切逻辑和原由。,381493人评价,2001/美国/传记剧情,美丽心灵,54,8.9
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,251854人评价,2013/韩国/剧情,素媛,55,9.1
暗恋的极致。,473130人评价,1995/日本/剧情爱情,情书,56,8.8
动物版《哈姆雷特》。,363711人评价,1994/美国/剧情动画冒险歌舞家庭,狮子王,57,8.9
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,260503人评价,1987/英国意大利中国大陆法国美国/剧情传记历史,末代皇帝,58,9.1
音乐能化解仇恨。,251633人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,59,9.1
往事如烟，无处祭奠。,216708人评价,1984/意大利美国/犯罪剧情,美国往事,60,9.1
奔跑的孩子是天使。,183066人评价,1997/伊朗/剧情家庭儿童,小鞋子,61,9.2
在时间之河里感受溺水之苦。,492208人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,62,8.8
警察抓小偷，老鼠玩死猫。,525348人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,63,8.8
以戏谑来戏谑戏谑。,379935人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,64,8.9
孪生蝙蝠侠大战克隆金刚狼。,430308人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,65,8.8
美丽无罪。,458428人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,66,8.8
视觉革命。,361954人评价,1999/美国澳大利亚/动作科幻,黑客帝国,67,8.9
你以为你以为的就是你以为的。,493822人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,68,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,801135人评价,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,69,8.7
美利坚精神输出大片No1.,310740人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,70,8.9
法式小清新。 ,582798人评价,2001/法国德国/喜剧爱情,天使爱美丽,71,8.7
用音乐化解仇恨，让歌声串起美好。,288269人评价,1965/美国/剧情传记爱情歌舞,音乐之声,72,8.9
故事的高级讲法。,421933人评价,1994/美国/剧情喜剧犯罪,低俗小说,73,8.8
经典之作，历久弥新。,143105人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,74,9.3
史诗大片的典范。,349225人评价,1995/美国/动作传记剧情历史战争,勇敢的心,75,8.8
童话世界的开端。,367476人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,76,8.8
浪漫忧郁的成人童话。,593817人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,77,8.7
安东尼·霍普金斯的顶级表演。,429975人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,78,8.8
人的命运被自己瞬间的抉择改变。,473019人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,79,8.7
爱情纠缠，男女一致。,312020人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,80,8.9
人生中应该拥有这样的一段豁然开朗。,343593人评价,1997/美国/剧情,心灵捕手,81,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,368011人评价,2008/日本/剧情,入殓师,82,8.8
骗子大师和执著警探的你追我跑故事。 ,313823人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,83,8.8
小清新的故事里注入了大历史的情怀。,415189人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,84,8.8
昔日翩翩少年，今日大腹便便。,455667人评价,2010/美国/剧情悬疑惊悚,禁闭岛,85,8.7
你是我最好的朋友，你是我唯一的朋友 。,266004人评价,2009/澳大利亚/剧情动画,玛丽和马克思,86,8.9
一场华丽的意淫。,335547人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,87,8.8
人与自然的战争史诗。,289448人评价,1997/日本/动画奇幻冒险,幽灵公主,88,8.8
深入内心的恐怖，出人意料的结局。,287366人评价,1999/美国/剧情悬疑惊悚,第六感,89,8.8
寂寞没有期限。,409335人评价,1994/香港/剧情爱情,重庆森林,90,8.7
人言可畏。,170011人评价,2012/丹麦瑞典/剧情,狩猎,91,9.1
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,201441人评价,2008/英国美国/剧情战争,穿条纹睡衣的男孩,92,9.0
最不可能的那个人永远是最可能的。,396177人评价,2003/美国/剧情悬疑惊悚,致命ID,93,8.7
死亡不是真的逝去，遗忘才是永恒的消亡。,625154人评价,2017/美国/喜剧动画奇幻音乐,寻梦环游记,94,9.0
每个人心中都有一座断背山。,393108人评价,2005/美国加拿大/剧情爱情同性家庭,断背山,95,8.7
约翰尼·德普的独角戏。,438799人评价,2003/美国/动作冒险奇幻,加勒比海盗,96,8.6
绝对意义上的美轮美奂。,656729人评价,2009/美国英国/动作战争科幻冒险,阿凡达,97,8.6
大时代中的人生，小人物的悲喜。,119610人评价,1936/美国/喜剧剧情爱情,摩登时代,98,9.2
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,306176人评价,2003/美国/剧情家庭奇幻冒险,大鱼,99,8.8
没有一人完全善，也没有一人完全恶。,414730人评价,2010/日本/剧情惊悚,告白,100,8.7
我们都曾经是一一。,187101人评价,2000/台湾日本/剧情爱情家庭,一一,101,9.0
百看不厌。 ,334435人评价,1993/香港/喜剧古装,射雕英雄传之东成西就,102,8.7
相逢只要一瞬间，等待却像是一辈子。,274157人评价,1996/香港/剧情爱情,甜蜜蜜,103,8.8
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,329508人评价,2011/韩国/剧情喜剧,阳光姐妹淘,104,8.8
年度最佳date movie。,448202人评价,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,105,8.7
缘分是个连绵词，最美不过一瞬。,275083人评价,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,106,8.7
我是一个演员。,408228人评价,1999/香港/喜剧剧情爱情,喜剧之王,107,8.6
被上帝抛弃了的上帝之城。,181652人评价,2002/巴西法国/犯罪剧情,上帝之城,108,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,181748人评价,2014/日本/剧情,小森林 夏秋篇,109,8.9
少女情怀总是诗。,214887人评价,1995/日本/剧情爱情动画,侧耳倾听,110,8.8
动画片的圣经。,214255人评价,1984/日本/动画奇幻冒险,风之谷,111,8.8
恐怖分子的“秋菊打官司”。,292393人评价,2013/韩国/剧情犯罪悬疑,恐怖直播,112,8.7
两张绝世的脸。 ,331594人评价,1987/香港/剧情爱情武侠古装,倩女幽魂,113,8.7
梦的勾结。,173208人评价,2006/日本/动画悬疑科幻惊悚,红辣椒,114,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,219393人评价,2011/美国/剧情,超脱,115,8.8
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,242506人评价,2004/美国/剧情爱情,爱在日落黄昏时,116,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,235008人评价,1999/日本/剧情喜剧,菊次郎的夏天,117,8.8
和谐的生活离不开摸头与被摸头。,355722人评价,2010/美国/喜剧动画奇幻冒险,驯龙高手,118,8.7
有时候幸福需要等一等。 ,270920人评价,2004/美国/喜剧剧情爱情,幸福终点站,119,8.7
沉醉在电影的情感和视听氛围中无法自拔。,249210人评价,2017/意大利法国巴西美国/剧情爱情同性,请以你的名字呼唤我,120,8.8
曾经的那段美好会沉淀为一辈子的记忆。,265140人评价,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,121,8.7
Mr. I Don't Care其实也有Care的时候。,480346人评价,2010/美国法国/喜剧动画冒险,神偷奶爸,122,8.5
关于连环杀人悬案的集体回忆。,256603人评价,2003/韩国/犯罪剧情悬疑惊悚,杀人回忆,123,8.7
10年的完美句点。,344445人评价,2011/美国英国/剧情悬疑奇幻冒险,哈利·波特与死亡圣器(下),124,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,157733人评价,2015/日本/剧情,小森林 冬春篇,125,9.0
时代悲歌。,95556人评价,1954/日本/动作冒险剧情,七武士,126,9.2
岁月流逝，来日可追。,355885人评价,2010/香港中国大陆/剧情家庭,岁月神偷,127,8.6
不要给它起名字，起了名字就有感情了。,305712人评价,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,128,8.6
幸福是生生不息，却难以触及的远。 ,241858人评价,1988/日本/动画剧情战争,萤火虫之墓,129,8.7
像吃了苏打饼一样干脆的电影。,220930人评价,2007/美国德国/动作悬疑惊悚,谍影重重3,130,8.7
真相就在眼前。,241271人评价,2004/美国/悬疑惊悚恐怖,电锯惊魂,131,8.7
爱，是个动词。,378782人评价,2003/英国美国法国/喜剧剧情爱情,真爱至上,132,8.5
《我是山姆》的《美丽人生》。,225293人评价,2013/韩国/剧情喜剧家庭,7号房的礼物,133,8.7
电影诗。,310868人评价,1994/香港台湾/剧情动作爱情武侠古装,东邪西毒,134,8.6
老少皆宜，这就是好莱坞动画的魅力。,447158人评价,2013/美国/喜剧动画冒险,疯狂原始人,135,8.7
中国家庭的喜怒哀乐忍。,170232人评价,1993/台湾美国/剧情喜剧爱情同性家庭,喜宴,136,8.8
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,452690人评价,2008/英国美国/剧情爱情,贫民窟的百万富翁,137,8.5
触不到的恋人。,208004人评价,2011/日本/剧情爱情动画奇幻,萤火之森,138,8.8
一个针管引发的血案。,331938人评价,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,139,8.6
Balalala~~~,467995人评价,2014/美国/喜剧动作科幻动画冒险,超能陆战队,140,8.6
黑暗之美。,490252人评价,2010/美国/剧情惊悚,黑天鹅,141,8.5
华太师是黄霑，吴镇宇四大才子之一。,437219人评价,1993/香港/喜剧爱情古装,唐伯虎点秋香,142,8.5
英雄泪短，兄弟情长。 ,223860人评价,1986/香港/动作犯罪,英雄本色,143,8.6
诺兰就是保证。,355420人评价,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,144,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,240439人评价,1988/美国/剧情,雨人,145,8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,231307人评价,2014/中国大陆/剧情犯罪悬疑,心迷宫,146,8.7
爱是摈弃傲慢与偏见之后的曙光。,368906人评价,2005/法国英国美国/剧情爱情,傲慢与偏见,147,8.5
始于荒诞，止于更荒诞。,185619人评价,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,148,8.8
当这个世界闭上双眼，他却敞开了怀抱。,144233人评价,2004/英国南非意大利美国/剧情历史战争,卢旺达饭店,149,8.9
我的平常生活就是他人的幸福。,97865人评价,2004/日本/剧情,无人知晓,150,9.1
香港浪漫主义警匪动作片的巅峰之作。,188321人评价,1991/香港/剧情喜剧动作犯罪,纵横四海,151,8.7
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,253889人评价,2013/英国/剧情爱情奇幻,时空恋旅人,152,8.7
大海啊，不全是水。,108516人评价,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,153,9.0
我们都有权利不与自己的过去和解。,253616人评价,2016/美国/剧情家庭,海边的曼彻斯特,154,8.6
任何信念的力量，都无法改变命运。,161492人评价,1990/美国/剧情犯罪,教父3,155,8.8
跨度十五年的欢乐与泪水。,231029人评价,2010/美国/喜剧动画奇幻冒险,玩具总动员3,156,8.8
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,398764人评价,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,157,8.7
偷情本没有这样美。,295409人评价,2000/香港/剧情爱情,花样年华,158,8.6
坏人的好总是比好人的好来得更感人。,101397人评价,1993/美国/剧情犯罪,完美的世界,159,9.0
永远看不腻的喜剧。,124751人评价,1966/法国英国/喜剧战争,虎口脱险,160,8.9
Jared Leto的腿比女人还美！,228516人评价,2013/美国/剧情传记同性,达拉斯买家俱乐部,161,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,338944人评价,2004/美国/剧情爱情,恋恋笔记本,162,8.5
传奇，不是每个人都可以拥有。,168141人评价,1994/美国/剧情爱情西部家庭,燃情岁月,163,8.7
有一些东西不应该被遗忘。,137444人评价,2015/中国大陆/纪录片,二十二,164,8.7
骨灰级歌舞片。,109017人评价,1952/美国/喜剧歌舞爱情,雨中曲,165,9.0
松鼠才是角儿。,328363人评价,2002/美国/喜剧动画冒险,冰川时代,166,8.5
爱并不需要智商 。,128619人评价,2001/美国/剧情家庭,我是山姆,167,8.8
爱上未来的你。 ,218022人评价,2006/日本/剧情爱情科幻动画,穿越时空的少女,168,8.6
中国式内在的美国电影。,148993人评价,1940/美国/剧情战争爱情,魂断蓝桥,169,8.8
不可猜的青春迷笛。 ,282220人评价,1996/英国/犯罪剧情,猜火车,170,8.5
对爱的执着，可以超越一切。,226719人评价,2001/美国/冒险剧情科幻,人工智能,171,8.6
愿我们都不用长大，每一座城堡都能永远存在。,286797人评价,2015/美国/喜剧动画冒险,头脑特工队,172,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,307848人评价,2012/美国/剧情动作西部冒险,被解救的姜戈,173,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,283691人评价,2014/美国/剧情音乐,爆裂鼓手,174,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,122587人评价,1997/日本/动画奇幻惊悚,未麻的部屋,175,8.9
迪士尼和皮克斯拿错剧本的产物。,249276人评价,2012/美国/喜剧动画奇幻冒险,无敌破坏王,176,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,611909人评价,2016/日本/剧情爱情动画,你的名字。,177,8.4
人生的N种可能性。,153110人评价,1950/日本/犯罪剧情悬疑,罗生门,178,8.7
一个单凭体香达到高潮的男人。,322910人评价,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,179,8.4
世界离独裁只有五天。,155455人评价,2008/德国/剧情惊悚,浪潮,180,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,310036人评价,2008/美国德国/剧情爱情,朗读者,181,8.5
王家卫是一种风格，张国荣是一个代表。,253607人评价,1990/香港/犯罪剧情爱情,阿飞正传,182,8.5
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,194002人评价,2015/爱尔兰加拿大英国美国/剧情家庭,房间,183,8.8
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,308491人评价,2014/英国美国/剧情传记战争同性,模仿游戏,184,8.6
不要企图在重复中寻找已经失去的爱。,393172人评价,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,185,8.4
惠及一生的美丽。,158869人评价,2015/瑞典/剧情,一个叫欧维的男人决定去死,186,8.8
坚硬的信仰。,152632人评价,2004/中国大陆香港/剧情犯罪,可可西里,187,8.7
养狗三日，便会对你终其一生。,78231人评价,1987/日本/剧情,忠犬八公物语,188,9.1
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,237426人评价,1989/日本/动画奇幻冒险,魔女宅急便,189,8.5
来啊，互相伤害啊！,263397人评价,2016/意大利/剧情喜剧,完美陌生人,190,8.6
做一颗让别人需要你的棋子。,200418人评价,2005/美国法国/剧情犯罪,战争之王,191,8.6
想你时你在闹海。,101676人评价,1979/中国大陆/冒险动画奇幻,哪吒闹海,192,8.9
只有有信仰的人才能说出事实真相。,153048人评价,2011/伊朗法国/剧情家庭,一次别离,193,8.7
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,228750人评价,2002/美国德国捷克/动作悬疑惊悚,谍影重重,194,8.5
谁说王家卫镜头很晃？,190693人评价,2004/美国德国/动作悬疑惊悚,谍影重重2,195,8.6
天使保护事件始末。,102630人评价,2007/印度/剧情儿童家庭,地球上的星星,196,8.9
弱者送给弱者的一刀。,128880人评价,1991/台湾/剧情犯罪,牯岭街少年杀人事件,197,8.8
诺兰的牛逼来源于内心散发出的恐惧。,96063人评价,1998/英国/犯罪悬疑惊悚,追随,198,8.9
天使与魔鬼的冲撞。,199304人评价,2004/美国德国/犯罪剧情,撞车,199,8.6
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,189723人评价,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,200,8.6
故事的反转与反转，分裂电影的始祖。,102705人评价,1960/美国/悬疑惊悚恐怖,惊魂记,201,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,266461人评价,1993/香港/剧情奇幻古装,青蛇,202,8.5
是枝裕和的家庭习作。,173341人评价,2015/日本/剧情家庭,海街日记,203,8.7
一场没有春天的噩梦。,129958人评价,2000/美国/剧情,梦之安魂曲,204,8.7
宝莱坞的萝莉与大叔。,215890人评价,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,205,8.5
爱我就给我看你的播放列表。,210180人评价,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,206,8.5
嬉笑怒骂，调风动月。,222821人评价,1992/香港中国大陆/剧情动作武侠古装,新龙门客栈,207,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,111072人评价,2008/日本/剧情家庭,步履不停,208,8.8
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,466842人评价,2011/美国加拿大/科幻悬疑惊悚,源代码,209,8.4
少见的超越首部的续集，动作片中的经典。,168588人评价,1991/美国法国/动作科幻,终结者2：审判日,210,8.6
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,62356人评价,1953/日本/剧情家庭,东京物语,211,9.2
黑小鸭速效美白记。,546154人评价,2010/泰国/剧情喜剧爱情,初恋这件小事,212,8.3
中国版《两杆大烟枪》。,381769人评价,2006/中国大陆香港/喜剧犯罪,疯狂的石头,213,8.3
永远的小人物，伟大的卓别林。,55165人评价,1931/美国/喜剧剧情爱情,城市之光,214,9.2
天使暂时离开。,126281人评价,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,215,8.7
昆汀同学越来越变态了，比北野武还杜琪峰。,259167人评价,2009/美国德国/剧情犯罪,无耻混蛋,216,8.5
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,141110人评价,2013/美国/剧情爱情,爱在午夜降临前,217,8.8
没有了退路，只好飞向自由。,122322人评价,1991/美国法国/犯罪剧情惊悚,末路狂花,218,8.7
科幻真正的魅力不是视觉效果能取代的。 ,214950人评价,2007/美国/剧情科幻,这个男人来自地球,219,8.5
青春就是放弃和怀念。,358609人评价,2007/日本/动画剧情爱情,秒速5厘米,220,8.3
类型片的极致。 ,163214人评价,1996/美国/动作冒险,勇闯夺命岛,221,8.6
生病的E.T.皮肤的颜色就像柿子饼。,182840人评价,1982/美国/剧情科幻,E.T. 外星人,222,8.5
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,245379人评价,1997/美国/动作科幻犯罪惊悚,变脸,223,8.4
小成本大魅力。,227720人评价,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,224,8.4
我完全康复了。,212007人评价,1971/英国美国/犯罪剧情科幻,发条橙,225,8.5
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,143446人评价,1942/美国/剧情爱情战争,卡萨布兰卡,226,8.6
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,116585人评价,1988/法国美国意大利/剧情爱情,碧海蓝天,227,8.7
最棒的西部片。,61705人评价,1966/意大利西班牙西德/冒险西部,黄金三镖客,228,9.1
每个美丽事物背后都是滴血的现实。,162135人评价,2006/美国德国/剧情惊悚冒险,血钻,229,8.6
新闻人的理性求真。,152189人评价,2015/美国/剧情传记,聚焦,230,8.8
每个人的内心都是深不可测的大海。 ,213124人评价,1999/美国/剧情爱情家庭,美国丽人,231,8.5
我不信仰上帝，但我敬畏上帝。,140285人评价,1995/德国美国/剧情犯罪悬疑惊悚,非常嫌疑犯,232,8.6
皇上无话儿。,391422人评价,2010/英国澳大利亚美国/剧情传记历史,国王的演讲,233,8.3
生命不止，摇滚不死。,182711人评价,2009/英国德国法国/剧情喜剧音乐,海盗电台,234,8.6
还原真实而残酷的战争。,142097人评价,2001/美国/动作历史战争,黑鹰坠落,235,8.6
出门必备：本草纲目。,146637人评价,2007/美国/冒险传记剧情,荒野生存,236,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,71215人评价,2011/韩国/剧情爱情,我爱你,237,9.0
一部能引人思考的科幻励志片。,108452人评价,1997/美国/剧情科幻惊悚,千钧一发,238,8.7
"In memory, love lives forever...",194504人评价,1996/美国英国/爱情剧情战争,英国病人,239,8.5
现代科幻电影的开山之作，最伟大导演的最伟大影片。,116925人评价,1968/英国美国/科幻惊悚冒险,2001太空漫游,240,8.7
用剩余不多的时间，去燃烧整个生命。,157434人评价,2007/美国/冒险喜剧剧情,遗愿清单,241,8.5
,375434人评价,2017/美国英国/剧情犯罪,三块广告牌,242,8.7
一个人的独角戏。,160555人评价,2000/美国/冒险剧情,荒岛余生,243,8.5
热血沸腾，相当完美的娱乐拳击大餐。,98664人评价,2011/美国/剧情运动家庭,勇士,244,8.9
最美的飞翔。,57185人评价,2001/法国德国意大利西班牙瑞士/纪录片,迁徙的鸟,245,9.1
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,116931人评价,1999/香港/剧情动作犯罪,枪火,246,8.7
,67633人评价,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,247,9.0
乐观比一切都有力量。,123072人评价,2008/美国/剧情传记,叫我第一名,248,8.6
现实与童话交相辉映的旅程。,117337人评价,1996/日本/犯罪剧情,燕尾蝶,249,8.6
大卫·林奇的梦境迷宫。,266867人评价,2001/法国美国/剧情悬疑惊悚,穆赫兰道,250,8.3
